business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sreekrishna Flower Mart,Flower Decorator,Florist,Florist,690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",+91 99472 99177,N/A,4.6,,"R.M Building, Thattarambalam - Thrikkunnapuzha Rd, Nangiarkulangara, Keralam 690513",690527,9.259065099999999,76.4627321,ChIJHy6HFdwfBjsRvUpM64Pbifk,https://www.google.com/maps/place/?q=place_id:ChIJHy6HFdwfBjsRvUpM64Pbifk,part_307,2026-09-20 20:17:29
Sreedevi Flower Mart,Flower Decorator,Wholesaler,"Wholesaler, Flower market",690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",+91 94467 37995,N/A,3.5,,"11, Haripad, Keralam 690514",690527,9.2837038,76.4583598,ChIJvX6pQY4fBjsRzHmpHD_OsXk,https://www.google.com/maps/place/?q=place_id:ChIJvX6pQY4fBjsRzHmpHD_OsXk,part_307,2026-09-20 20:17:29
Suguna flower store,Flower Decorator,Florist,Florist,690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",+91 98950 47270,N/A,4.8,,"Market Place, Punnapra, Alappuzha, Keralam 688004",Punnapra,9.4362205,76.3449885,ChIJr_zAzNCbCDsR8bZh5cACD-0,https://www.google.com/maps/place/?q=place_id:ChIJr_zAzNCbCDsR8bZh5cACD-0,part_307,2026-09-20 20:17:29
Little Flower Shop,Flower Decorator,Florist,Florist,690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",+91 93499 54980,N/A,4.9,,"opposite Relaince Smart, Changanassery, Keralam 686104",690527,9.4546464,76.5500836,ChIJbf5Ah48lBjsRZwjyqs1No-s,https://www.google.com/maps/place/?q=place_id:ChIJbf5Ah48lBjsRZwjyqs1No-s,part_307,2026-09-20 20:17:29
Eden Flower Stores Edathua,Flower Decorator,Store,Store,690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",+91 97444 35914,N/A,4.2,,"Puthenparambil P. O, Edathua, Kuttanad Taluk, Keralam 689573",Edathua,9.365769,76.4766266,ChIJx_DFvGohBjsR_8_4FqDgACI,https://www.google.com/maps/place/?q=place_id:ChIJx_DFvGohBjsR_8_4FqDgACI,part_307,2026-09-20 20:17:29
Flowers Decorations And Kiaan Caters (Flower Group Of Concern),Flower Decorator,Event management company,"Event management company, Catering food and drink supplier, Event planner, Food producer, Party planner",690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",+91 95674 80191,https://www.instagram.com/flowers_decorations_and_events?igsh=bXpnbzBrZXN4N3c=,5.0,,"Thiruvalla - Mallappally Rd, Thiruvalla, Keralam 689543",690527,9.3853604,76.5749345,ChIJwb6ibsslBjsRdVYGhVmvwM0,https://www.google.com/maps/place/?q=place_id:ChIJwb6ibsslBjsRdVYGhVmvwM0,part_307,2026-09-20 20:17:29
RS Flora Flowers,Flower Decorator,Florist,"Florist, Cake decorating equipment shop, Event planner, Flower delivery, Flower designer, Party store, Wholesale florist",690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",+91 86060 27124,N/A,4.9,,"temple, Near, Thondankulangara - Punnamada Rd, Thondankulangara, Palakkulam, Alappuzha, Keralam 688013","Thondankulangara, Palakkulam",9.5061544,76.3403568,ChIJawa65b-FCDsRORHkw_ISS0E,https://www.google.com/maps/place/?q=place_id:ChIJawa65b-FCDsRORHkw_ISS0E,part_307,2026-09-20 20:17:29
Eskay Flowers,Flower Decorator,Florist,Florist,690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",+91 94470 60593,N/A,4.9,,"Manjadi, Thiruvalla, Keralam 689105",690527,9.3848536,76.5870106,ChIJ2WH2Iw0lBjsR6XhOwmWqhEg,https://www.google.com/maps/place/?q=place_id:ChIJ2WH2Iw0lBjsR6XhOwmWqhEg,part_307,2026-09-20 20:17:29
ABM Decorations,Flower Decorator,Wedding service,"Wedding service, Wedding store",690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",+91 477 225 1966,https://abmdecorations.com/,4.5,,"F8VP+J59, C.C.S.B Road, New Bazar, Kodiveedu, Alappuzha, Keralam 688001",Kodiveedu,9.4946963,76.3348397,ChIJMxRloFiECDsRheoxn0xRQZo,https://www.google.com/maps/place/?q=place_id:ChIJMxRloFiECDsRheoxn0xRQZo,part_307,2026-09-20 20:17:29
Sumam's Floral Expressions,Flower Decorator,Florist,Florist,690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",+91 94471 29188,https://sumams.com/,4.5,,"Assissi House House No. 161 Near St Anne's Girls High School, Anandasramam, Changanassery, Keralam 686101",Anandasramam,9.4550165,76.5451302,ChIJ5X0VxQYmBjsRx8dm_7ioqns,https://www.google.com/maps/place/?q=place_id:ChIJ5X0VxQYmBjsRx8dm_7ioqns,part_307,2026-09-20 20:17:29
Chloris Floral Collections,Flower Decorator,Florist,Florist,690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",+91 94954 51053,N/A,5.0,,"near St.Joseph's Church, Madackal, Kuruppan Kulangara, Cherthala, Kadakkarappally, Keralam 688524","Madackal, Kuruppan Kulangara",9.6893959,76.3182683,ChIJsWKc96t9CDsRWitS9A1Di94,https://www.google.com/maps/place/?q=place_id:ChIJsWKc96t9CDsRWitS9A1Di94,part_307,2026-09-20 20:17:29
Thekkedath Flower Stores,Flower Decorator,Flower market,Flower market,690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",+91 98477 12195,N/A,4.9,9.0,"Edathua, Kuttanad Taluk, Keralam 689573",Edathua,9.3656893,76.47697289999999,ChIJ_4MLoV8hBjsRTSQygxzxbrc,https://www.google.com/maps/place/?q=place_id:ChIJ_4MLoV8hBjsRTSQygxzxbrc,part_307,2026-09-20 20:17:29
Warriers Flowers,Flower Decorator,Florist,Florist,690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",+91 99462 25225,N/A,4.3,35.0,"Pandalam - Kaippattoor Road, Pandalam, Keralam 689501",690527,9.224229,76.6771541,ChIJ29FYOyMXBjsRQwW-acP1S3w,https://www.google.com/maps/place/?q=place_id:ChIJ29FYOyMXBjsRQwW-acP1S3w,part_307,2026-09-20 20:17:29
ASHOKS FLOWERS,Flower Decorator,Florist,Florist,690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",+91 85900 49585,N/A,5.0,8.0,"Parumala, Nirmalapuram, Keralam 689626",690527,9.3259025,76.5369556,ChIJN_FsMSIhBjsRkTX6-F3dCyo,https://www.google.com/maps/place/?q=place_id:ChIJN_FsMSIhBjsRkTX6-F3dCyo,part_307,2026-09-20 20:17:29
Flora Decor Zudio Flower Shop,Flower Decorator,Florist,Florist,690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",+91 95394 12524,http://floradecorzudio.shop/,4.9,147.0,"1st Floor, Pazhayidathu Building, Mazhuvangadu, near Pushpagiri Hospitals Road, Junction, Thiruvalla, Keralam 689101",Junction,9.376286,76.5773234,ChIJ6fnTbO4lBjsRh5sUPjI1hkM,https://www.google.com/maps/place/?q=place_id:ChIJ6fnTbO4lBjsRh5sUPjI1hkM,part_307,2026-09-20 20:17:30
Fiorenza By Manoj,Flower Decorator,Florist,"Florist, Event planner, Flower delivery, Flower designer",690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",N/A,N/A,5.0,1.0,"Eramalloor, Ezhupunna, Keralam 688537",Eramalloor,9.8234702,76.3111052,ChIJM-_7-b1xCDsRfbOClHApoQw,https://www.google.com/maps/place/?q=place_id:ChIJM-_7-b1xCDsRfbOClHApoQw,part_307,2026-09-20 20:17:30
Mangalya Flowers & Pooja Items,Flower Decorator,Flower designer,Flower designer,690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",+91 94463 06959,N/A,1.7,6.0,"NH 66, Punnapra, Alappuzha, Kerala 688004",Punnapra,9.4337795,76.345355,ChIJwwzWoeybCDsRrfG5vRg7sYA,https://www.google.com/maps/place/?q=place_id:ChIJwwzWoeybCDsRrfG5vRg7sYA,part_307,2026-09-20 20:17:30
Flora One,Flower Decorator,Wholesale florist,Wholesale florist,690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",+91 99956 60186,https://www.instagram.com/floraone.in/?hl=en,5.0,,"Ward No:27, First Floor, B, Door No: 187, above Glen Kitchen ware, P. O, Pazhaveedu, Alappuzha, Keralam 688009","P. O, Pazhaveedu",9.483230599999999,76.3444306,ChIJ3Rmz9vyFCDsR3SwDWbjrMYw,https://www.google.com/maps/place/?q=place_id:ChIJ3Rmz9vyFCDsR3SwDWbjrMYw,part_307,2026-09-20 20:17:31
Vinayaka Flower Merchant,Flower Decorator,Florist,Florist,690527,Kerala Circle,Kochi Region,Mavelikara Division,"Puthuppally SO, Govindamuttom BO",+91 96461 88432,N/A,4.1,,"F8WV+H2C, Mullackal Rd, Erezha, Mullakkal, Alappuzha, Keralam 688011","Erezha, Mullakkal",9.4964326,76.3425176,ChIJR3iIm4qECDsRm8Xdb3tVwCQ,https://www.google.com/maps/place/?q=place_id:ChIJR3iIm4qECDsRm8Xdb3tVwCQ,part_307,2026-09-20 20:17:31
